rank,appid
935,4195110
936,1394650
937,4413210
938,3620530
939,4645360
940,4532500
941,1894140
942,4892120
943,2059980
944,4269150
945,2945040
946,1498550
947,4163270
948,2750400
949,1158190
950,1968940
951,4247140
952,1707680
953,2571410
954,2700560
955,4271520
956,1257480
957,2861090
958,1774190
959,3068720
960,3370970
961,1659360
962,2740750
963,2545200
964,1390760
965,3905500
966,4261180
967,3681260
968,4258880
969,2494020
970,3408450
971,4435340
972,3080520
973,1815150
974,3264980
975,2601530
976,4507990
977,2824520
978,2999670
979,2559740
980,3411810
981,3905010
982,4339280
983,3695930
984,4328840
985,2155140
986,3908100
987,3419080
988,2749920
989,4928430
990,2601980
991,2776270
992,4623570
993,4190710
994,3804370
995,4042070
996,3846360
997,1359270
998,3201450
999,2538870
1000,1732910
1001,4623300
1002,2421000
1003,2231980
1004,3322630
1005,1352140
1006,3251540
1007,2821390
1008,4024440
1009,1761210
1010,3516590
1011,4308600
1012,2795110
1013,3447460
1014,1205660
1015,2168070
1016,3195360
1017,3375110
1018,2681560
1019,2664600
1020,4824220
1021,3475880
1022,4400800
1023,3208930
1024,3048060
1025,3534150
1026,4073860
1027,2363200
1028,3620610
1029,3261450
1030,2583660
1031,3695350
1032,2847780
1033,1355900
1034,4563860
1035,4200110
1036,2665020
1037,2471680
1038,3561320
1039,3175790
1040,1343010
1041,2159260
1042,2713380
1043,1630450
1044,2390130
1045,2370280
1046,4143000
1047,2513270
1048,1842040
1049,1633850
1050,2441590
1051,1196230
1052,2201470
1053,1927360
1054,1818660
1055,3018390
1056,3125320
1057,669270
1058,2415030
1059,3788110
1060,2841710
1061,1376880
1062,3109590
1063,2166730
1064,4163960
1065,2517940
1066,4123070
1067,3510740
1068,3130220
1069,1808160
1070,3545200
1071,3519480
1072,4429930
1073,4374950
1074,3688110
1075,3309550
1076,1323140
1077,2526200
1078,2711690
1079,2744430
1080,4414620
1081,3122600
1082,4540840
1083,3106270
1084,4633090
1085,2271050
1086,4703930
1087,3483820
1088,3546610
1089,1116390
1090,2358630
1091,2706400
1092,1287610
1093,1918830
1094,3544130
1095,3500810
1096,4020810
1097,3275120
1098,1920290
1099,575020
1100,4096880
1101,3600170
1102,2334930
1103,3355070
1104,1905580
1105,2790850
1106,5072700
1107,4466940
1108,3491690
1109,4009490
1110,1579210
1111,2949750
1112,4075620
1113,3012300
1114,1963190
1115,4417410
1116,3030560
1117,2620450
1118,2175180
1119,3848900
1120,1503170
1121,4121600
1122,4327900
1123,3530630
