appid,rank,prev_rank,rank_change
3575980,4359,7369,3010
2667120,6183,N/A,3009
440310,5285,8286,3001
2178480,4449,7446,2997
3582430,5383,8376,2993
3902430,6202,N/A,2990
301640,6208,N/A,2984
2272330,4376,7359,2983
2199420,6209,N/A,2983
3951500,6210,N/A,2982
645730,6211,N/A,2981
951240,1152,4131,2979
4103060,6171,9150,2979
2432430,6214,N/A,2978
3908810,6215,N/A,2977
2725260,4631,7604,2973
274940,6221,N/A,2971
238010,4767,7736,2969
201230,6224,N/A,2968
2375550,6233,N/A,2959
486860,6242,N/A,2950
602320,6247,N/A,2945
1222300,6248,N/A,2944
2662430,6253,N/A,2939
2506610,6267,N/A,2925
1621560,6269,N/A,2923
41070,6277,N/A,2915
2401230,6279,N/A,2913
537340,6282,N/A,2910
1484280,4710,7618,2908
3663050,5564,8472,2908
429530,4121,7025,2904
2616460,5903,8805,2902
3738910,6291,N/A,2901
3701190,4175,7063,2888
292240,6304,N/A,2888
999220,6306,N/A,2886
3026310,6314,N/A,2878
2668080,6323,N/A,2869
1094520,5135,8002,2867
1963370,6330,N/A,2862
1530300,6333,N/A,2859
2897700,1488,4346,2858
1202200,4790,7647,2857
694280,3205,6060,2855
336150,6339,N/A,2853
1308700,6341,N/A,2851
2987800,2189,5037,2848
4585170,6348,N/A,2844
1269370,5325,8168,2843
530610,6350,N/A,2842
2015620,6355,N/A,2837
3029540,3255,6091,2836
4380600,6358,N/A,2834
16450,4949,7781,2832
2860590,6052,8877,2825
1985740,6368,N/A,2824
442070,6373,N/A,2819
1352850,5827,8644,2817
4434690,6378,N/A,2814
1196080,6381,N/A,2811
1545560,5437,8245,2808
400910,6384,N/A,2808
1174640,6388,N/A,2804
921590,5572,8375,2803
1218210,5929,8730,2801
601670,6398,N/A,2794
3114870,6400,N/A,2792
1295900,6404,N/A,2788
1299460,4603,7389,2786
1180660,6406,N/A,2786
593150,5445,8230,2785
411890,2985,5767,2782
1235762,5256,8028,2772
4454610,6421,N/A,2771
1996010,5130,7893,2763
3394770,6429,N/A,2763
1103860,6432,N/A,2760
4128520,6434,N/A,2758
2130460,6443,N/A,2749
34870,6445,N/A,2747
2481020,4904,7650,2746
908060,5646,8388,2742
583470,6235,8975,2740
4002040,6458,N/A,2734
2162820,2604,5333,2729
1149940,6469,N/A,2723
244430,5342,8063,2721
2430160,6427,9140,2713
2121260,6483,N/A,2709
15320,6495,9204,2709
965230,6485,N/A,2707
3951490,1983,4689,2706
1714580,6488,N/A,2704
3160880,3426,6127,2701
1599020,6492,N/A,2700
367680,6498,N/A,2694
1629830,6104,8797,2693
921570,114,2806,2692
628080,6501,N/A,2691
4353630,6367,9054,2687
3114910,6505,N/A,2687
3756940,6506,N/A,2686
3895690,6134,8819,2685
595690,6508,N/A,2684
1833990,6512,N/A,2680
3596900,6513,N/A,2679
2085620,6007,8684,2677
2394350,2414,5085,2671
3146140,6521,N/A,2671
702670,6524,N/A,2668
1633370,5581,8246,2665
1755910,6530,N/A,2662
4813880,3193,5854,2661
495910,6531,N/A,2661
3639470,1460,4119,2659
1648810,6537,N/A,2655
3966890,6327,8980,2653
513000,6539,N/A,2653
1833200,4061,6713,2652
587430,6541,N/A,2651
785770,3237,5887,2650
378760,5293,7942,2649
1214470,6385,9034,2649
3958640,6545,N/A,2647
593600,3789,6435,2646
3405150,6550,N/A,2642
870200,6200,8841,2641
4769010,6517,9158,2641
4240730,6551,N/A,2641
244050,6447,9083,2636
897610,6557,N/A,2635
1591420,5403,8034,2631
946880,6561,N/A,2631
4300530,6563,N/A,2629
987840,2533,5160,2627
575720,1850,4476,2626
3447040,2559,5181,2622
3499220,4433,7054,2621
6010,6573,N/A,2619
3042590,6575,N/A,2617
3835650,6576,N/A,2616
2820130,6515,9124,2609
3929740,5541,8149,2608
4128530,6586,N/A,2606
2524040,5767,8372,2605
4128540,6588,N/A,2604
3659020,6430,9032,2602
1613283,6085,8683,2598
2644890,6599,N/A,2593
1206340,6604,N/A,2588
2825300,6616,N/A,2576
3467170,6617,N/A,2575
1969060,5404,7978,2574
297860,6006,8580,2574
2357000,6618,N/A,2574
2957510,6625,N/A,2567
2785200,6628,N/A,2564
2950530,6630,N/A,2562
782660,6631,N/A,2561
2096570,6633,N/A,2559
247080,1208,3760,2552
1069650,5563,8114,2551
311340,6641,N/A,2551
2396910,6648,N/A,2544
4085030,6649,N/A,2543
485610,4098,6639,2541
353830,6658,N/A,2534
3837380,6666,9197,2531
2828470,4987,7517,2530
3531850,6663,N/A,2529
4021780,3260,5786,2526
304310,4370,6893,2523
4093270,6669,N/A,2523
1054510,3877,6398,2521
1559600,2930,5450,2520
459080,6672,N/A,2520
895620,6674,N/A,2518
3689390,5523,8033,2510
1409120,6688,N/A,2504
1611580,6689,N/A,2503
1489630,2554,5056,2502
4396620,1403,3889,2486
1492620,6709,N/A,2483
3376690,6710,N/A,2482
3585460,6712,N/A,2480
2461280,831,3310,2479
2731870,6715,N/A,2477
3098660,6724,N/A,2468
2492940,5936,8396,2460
956680,6732,N/A,2460
485460,6736,N/A,2456
16100,6743,N/A,2449
3226210,6747,N/A,2445
3399040,6748,N/A,2444
4422430,6752,N/A,2440
1369690,6754,N/A,2438
3916300,6769,N/A,2423
400551,6781,N/A,2411
2893880,6293,8700,2407
1657740,6785,N/A,2407
953880,4197,6602,2405
3692240,6788,N/A,2404
2296380,6790,N/A,2402
1177050,6795,N/A,2397
3951810,6797,N/A,2395
1685750,4917,7311,2394
4234260,5789,8183,2394
728740,5525,7917,2392
3803320,6184,8572,2388
312780,6260,8647,2387
2179850,6807,N/A,2385
2452130,6809,N/A,2383
300,6178,8559,2381
2709480,4008,6388,2380
3371770,6817,N/A,2375
1622941,5987,8361,2374
3465690,6819,N/A,2373
3606380,6303,8674,2371
1096930,4799,7169,2370
47931,6692,9055,2363
3744080,6837,N/A,2355
