rank,appid
981,99900
982,3370870
983,588030
984,1273400
985,3072120
986,899770
987,1634050
988,2527500
989,541570
990,3988410
991,1987080
992,2833600
993,1139980
994,1222140
995,3365540
996,965580
997,356190
998,3595230
999,690790
1000,977400
1001,866570
1002,341800
1003,2356560
1004,1089980
1005,1107320
1006,2682660
1007,830450
1008,4371500
1009,1945340
1010,617870
1011,3589510
1012,1092790
1013,1282100
1014,4164420
1015,2495450
1016,3133920
1017,1422130
1018,1712350
1019,4013300
1020,1237970
1021,4662010
1022,2649240
1023,2585150
1024,2794590
1025,625960
1026,742420
1027,1392860
1028,438040
1029,1331550
1030,1029690
1031,2140020
1032,2289750
1033,2697000
1034,3454980
1035,747660
1036,3688130
1037,3950020
1038,2109300
1039,653530
1040,3936520
1041,3198850
1042,2401410
1043,2502240
1044,1922560
1045,2543830
1046,4170200
1047,2815310
1048,1422440
1049,2658450
1050,2116120
1051,958520
1052,3700980
1053,1054490
1054,2307350
1055,3364070
1056,1601580
1057,916440
1058,4064510
1059,3211120
1060,424030
1061,1385380
1062,2169200
1063,1240440
1064,4674630
1065,4700
1066,702320
1067,2857120
1068,10
1069,2187300
1070,2962300
1071,383150
1072,1521580
1073,285330
1074,1815780
1075,2552430
1076,3152780
1077,4523380
1078,2212330
1079,1235734
1080,1996840
1081,379720
1082,960170
1083,1325860
1084,794800
1085,1594320
1086,8500
1087,4509090
1088,1238840
1089,1607890
1090,4719180
1091,4337770
1092,1501750
1093,3746540
1094,1468720
1095,552520
1096,2013290
1097,4485620
1098,3373660
1099,2972680
1100,1042550
1101,2474770
1102,1351240
1103,2294660
1104,2103140
1105,2157830
1106,1624540
1107,314650
1108,4104440
1109,429050
1110,3654560
1111,1971870
1112,887380
1113,1455630
1114,3873970
1115,477160
1116,2349820
1117,1154030
1118,282560
1119,708770
1120,2486820
1121,3952720
1122,3101170
1123,568220
1124,1135280
1125,512540
1126,400
1127,2062430
1128,2217000
1129,4412690
1130,2775650
1131,627690
1132,4661970
1133,1096900
1134,2150050
1135,34030
1136,1663850
1137,1599600
1138,3845870
1139,1656330
1140,1747960
1141,1216320
1142,3334790
1143,887570
1144,1238440
1145,977950
1146,3871390
1147,208650
1148,1105670
1149,2325832
1150,1361280
1151,986130
1152,1196770
1153,2353060
1154,2069250
1155,2742710
1156,881100
1157,3035570
1158,552100
1159,424840
1160,2944850
1161,4187140
1162,489630
1163,1451940
1164,3710980
1165,3752270
1166,1637320
1167,3767740
1168,305620
1169,1243830
1170,962400
1171,2914150
1172,3015760
1173,1634040
1174,2717880
1175,2362050
1176,2000950
1177,975370
1178,1256670
1179,3259780
1180,287700
1181,3278290
1182,2239710
1183,2369390
1184,4579020
1185,1941540
1186,3104970
1187,2975950
1188,1017180
1189,558245
1190,3604340
1191,2102730
1192,1255560
1193,632470
1194,2250500
1195,1239080
1196,3891560
1197,4231820
1198,434170
1199,1726150
1200,667970
1201,800370
1202,883710
1203,3301060
1204,1880620
1205,509980
1206,4558690
1207,2378900
1208,2543810
1209,3174120
1210,738520
1211,3124340
1212,4384550
1213,1307550
1214,3579770
1215,1209470
1216,1196590
1217,4093240
1218,3438850
1219,1703340
1220,2891710
1221,2209650
1222,2199210
1223,835670
1224,1015160
1225,2708450
1226,1004640
1227,567990
1228,582160
1229,2881370
1230,2346830
1231,911400
1232,636480
1233,1904480
1234,2333480
1235,10500
1236,1669480
1237,871540
1238,4285690
1239,206480
1240,238320
1241,3069050
1242,418370
1243,4760250
1244,2951690
1245,2622000
1246,2624870
1247,2853730
1248,1656370
1249,1812620
1250,4579010
1251,1454400
1252,1390150
1253,3205310
1254,2477660
1255,33230
1256,3694480
1257,99910
1258,2860240
1259,3691330
1260,3846120
1261,3399930
1262,2738490
1263,265550
1264,1533420
1265,2555190
1266,1114150
1267,3843410
1268,599140
1269,1672500
1270,1056640
1271,1349400
1272,450540
1273,1062520
1274,593600
1275,1135690
1276,2183670
1277,534331
1278,601050
1279,581320
1280,3972320
1281,848450
1282,2418520
1283,433340
1284,1509960
1285,2830030
1286,3417840
1287,768200
1288,2157560
1289,4427420
1290,2598510
1291,346010
1292,2298430
1293,2569510
1294,2191500
1295,886250
1296,2311920
1297,206420
1298,4630570
1299,1135230
1300,1494810
1301,3008670
1302,1511630
1303,3887090
1304,2742830
1305,2436600
1306,221680
1307,544550
1308,2069310
1309,4078430
1310,4126480
1311,4078590
1312,1104880
1313,3710840
1314,2100280
1315,326360
1316,3282470
1317,1574580
1318,4125930
1319,410900
1320,1433140
1321,2321470
1322,1209471
1323,3524380
1324,774171
1325,319630
1326,1677740
1327,1432860
1328,2672470
1329,1811080
1330,2384580
1331,4144680
1332,580100
1333,1967260
1334,1235733
1335,3199360
1336,2488370
1337,1445790
1338,712100
1339,2692990
1340,3410460
1341,493490
1342,2868390
1343,1267910
1344,203770
1345,3110760
1346,3417850
1347,2234150
1348,3130750
1349,1149620
1350,1472780
1351,684630
1352,1468810
1353,3478870
1354,319510
1355,1116050
1356,2477010
1357,2396980
1358,3335020
1359,1684350
1360,3067190
1361,1206200
1362,571740
1363,2378500
1364,2783360
1365,1235720
1366,427730
1367,3976910
1368,2753900
1369,3035120
1370,413410
1371,3144230
1372,2413950
1373,2574900
1374,3362550
1375,2436940
1376,2561580
1377,2891700
1378,2698420
1379,3446920
1380,1995520
1381,1699480
1382,3130740
1383,2313020
1384,690830
1385,2744880
1386,872670
1387,3743490
1388,1530160
1389,1118010
1390,2753970
1391,333640
1392,4046960
1393,767320
1394,2008610
1395,2382520
1396,2290180
1397,3673150
1398,1299591
1399,504230
1400,470220
1401,3046600
1402,3534790
1403,3101040
1404,2660460
1405,4439280
1406,1455840
1407,1858650
1408,220
1409,1097840
1410,3230400
1411,4427400
1412,313120
1413,292730
1414,4528540
1415,2464230
1416,3100370
1417,1990600
1418,1567110
1419,1458150
1420,3976890
1421,4551040
1422,2709570
1423,2417610
1424,4786430
1425,965220
1426,4119420
1427,223850
1428,3146530
1429,1388880
1430,2947440
1431,4735390
1432,1608290
1433,3402630
1434,550320
1435,3582250
1436,243470
1437,1411740
1438,780310
1439,2375780
1440,2988580
1441,2124490
1442,3169520
1443,1515210
1444,2073250
1445,4373810
1446,1211630
1447,3170540
1448,1366540
1449,4876910
1450,3300800
1451,2112231
1452,638230
1453,333420
1454,1774580
1455,304214
1456,1295500
1457,2677660
1458,1235731
1459,2131680
1460,492720
1461,55230
1462,3596700
1463,1939160
1464,2420110
1465,838350
1466,2644470
1467,388470
1468,2111190
1469,4517460
1470,329110
1471,2870920
1472,635260
1473,1299460
1474,22370
1475,2515020
1476,3762660
1477,2208570
1478,7670
1479,967050
1480,1909950
1481,3672960
1482,1117850
1483,3562120
1484,3400930
1485,1931770
1486,1840080
1487,2772990
1488,2749770
1489,760640
1490,2059170
1491,3796620
1492,21690
1493,1942110
1494,404012
1495,1432320
1496,2840100
1497,4132150
1498,3533100
1499,874390
1500,3693650
1501,3097300
1502,1033060
1503,1151640
1504,2808550
1505,280680
1506,1443200
1507,1670540
1508,3448670
1509,784950
1510,491540
1511,1449690
1512,1415692
1513,231430
1514,3400960
1515,383980
1516,4185010
1517,335240
1518,601510
1519,4114070
1520,2862860
1521,3219700
1522,534380
1523,2695940
1524,3387210
1525,3315510
1526,476600
1527,1262560
1528,1315750
1529,1636440
1530,2778610
1531,1686940
